sample_id,source_dataset,cve_id,project,cwe_id,vulnerability_type,benchmark_relpath,preferred_analyzer,run_generate,run_refine,run_backend_compare,selection_reason,quality_notes
vul4c_cwe416_imagemagick_cve201712877,vul4c,CVE-2017-12877,imagemagick,CWE-416,use after free,imagemagick/CVE-2017-12877,csa,true,true,true,UAF 修复为局部状态约束，适合证据收集,候选精炼样本
vul4c_cwe416_graphicsmagick_cve201714103,vul4c,CVE-2017-14103,graphicsmagick,CWE-416,use after free,graphicsmagick/CVE-2017-14103,csa,true,false,false,错误路径资源释放顺序修正明显，适合作为 UAF 补位样本,候选补位样本
vul4c_cwe416_libming_cve20188964,vul4c,CVE-2018-8964,libming,CWE-416,use after free,libming/CVE-2018-8964,csa,true,true,true,UAF 修复逻辑与释放后约束直接相关，适合精炼,候选精炼样本
vul4c_cwe416_libming_cve20188806,vul4c,CVE-2018-8806,libming,CWE-416,use after free,libming/CVE-2018-8806,csa,true,false,false,真实 UAF 案例，补丁语义集中在释放后约束,候选主样本
vul4c_cwe415_libzip_cve201712858,vul4c,CVE-2017-12858,libzip,CWE-415,double free,libzip/CVE-2017-12858,csa,true,true,true,双重释放真实样本稀缺，该样本需保留,待补两个同类样本
vul4c_cwe476_libming_cve20169828,vul4c,CVE-2016-9828,libming,CWE-476,NULL pointer dereference,libming/CVE-2016-9828,csa,true,false,false,空指针解引用补丁很小，利于基线评估,候选主样本
vul4c_cwe476_binutils_cve201714940,vul4c,CVE-2017-14940,binutils,CWE-476,NULL pointer dereference,binutils/CVE-2017-14940,csa,true,true,true,NULL 检查增强补丁直接，适合精炼,候选精炼样本
vul4c_cwe476_jasper_cve201610248,vul4c,CVE-2016-10248,jasper,CWE-476,NULL pointer dereference,jasper/CVE-2016-10248,csa,true,false,false,空指针路径补丁清晰,候选主样本
vul4c_cwe476_openjpeg_cve20167445,vul4c,CVE-2016-7445,openjpeg,CWE-476,NULL pointer dereference,openjpeg/CVE-2016-7445,csa,true,false,false,指针返回值判空与输入解析路径直接相关,候选补位样本
vul4c_cwe787_libdwarf_cve20169275,vul4c,CVE-2016-9275,libdwarf,CWE-787,out-of-bounds write,libdwarf/CVE-2016-9275,csa,true,false,false,越界写补丁小且直接,候选主样本
vul4c_cwe787_openjpeg_cve201714041,vul4c,CVE-2017-14041,openjpeg,CWE-787,out-of-bounds write,openjpeg/CVE-2017-14041,csa,true,true,true,边界写保护逻辑典型，适合精炼,候选精炼样本
vul4c_cwe787_ngiflib_cve201810677,vul4c,CVE-2018-10677,ngiflib,CWE-787,out-of-bounds write,ngiflib/CVE-2018-10677,csa,true,false,false,图像尺寸与画布边界约束补丁清晰,候选补位样本
vul4c_cwe787_ngiflib_cve201810717,vul4c,CVE-2018-10717,ngiflib,CWE-787,out-of-bounds write,ngiflib/CVE-2018-10717,csa,true,false,false,像素写入前的剩余长度检查直接对应越界写风险,候选补位样本
vul4c_cwe787_zziplib_cve20175975,vul4c,CVE-2017-5975,zziplib,CWE-787,out-of-bounds write,zziplib/CVE-2017-5975,csa,true,false,false,越界写样本独立且补丁集中,候选主样本
vul4c_cwe20_jasper_cve20169390,vul4c,CVE-2016-9390,jasper,CWE-20,input validation error,jasper/CVE-2016-9390,codeql,true,false,false,输入校验型补丁小，利于生成评估,候选主样本
vul4c_cwe20_libtiff_cve20177601,vul4c,CVE-2017-7601,libtiff,CWE-20,input validation error,libtiff/CVE-2017-7601,codeql,true,false,false,输入约束补丁直接体现前置检查,候选主样本
vul4c_cwe20_binutils_cve20179043,vul4c,CVE-2017-9043,binutils,CWE-20,input validation error,binutils/CVE-2017-9043,codeql,true,true,true,输入合法性判断较明确，适合精炼与后端对比,候选精炼样本
