dataset,rank,case_id,commit_id,bug_type,candidate_group,checker_id,tp,tn,report_count,manual_bugs,manual_not_bugs,case_dir,refinement_input,standard_patch,knighter_patch,checker_source
E2-extended,27,27_19ebc1e6cab3_Double_Free,19ebc1e6cab334a8193398d4152deb76019b5d34,Double-Free,valid_no_local_report,old:19ebc1e6cab334a8193398d4152deb76019b5d34:checker1,1,1,0,0,0,research/knighter/e2/cases/27_19ebc1e6cab3_Double_Free,research/knighter/e2/cases/27_19ebc1e6cab3_Double_Free/refinement_input.json,research/knighter/e2/cases/27_19ebc1e6cab3_Double_Free/patches/commit.patch,research/knighter/e2/cases/27_19ebc1e6cab3_Double_Free/patches/knighter_patch.md,research/knighter/e2/cases/27_19ebc1e6cab3_Double_Free/csa/SAGenTestChecker.cpp
E2-extended,28,28_4575962aeed6_Double_Free,4575962aeed63aca975756852ab0c550164f849f,Double-Free,valid_no_local_report,old:4575962aeed63aca975756852ab0c550164f849f:checker0,1,1,0,0,0,research/knighter/e2/cases/28_4575962aeed6_Double_Free,research/knighter/e2/cases/28_4575962aeed6_Double_Free/refinement_input.json,research/knighter/e2/cases/28_4575962aeed6_Double_Free/patches/commit.patch,research/knighter/e2/cases/28_4575962aeed6_Double_Free/patches/knighter_patch.md,research/knighter/e2/cases/28_4575962aeed6_Double_Free/csa/SAGenTestChecker.cpp
E2-extended,29,29_e61dd678601e_Double_Free,e61dd678601eac53d501dda1eb1bcffec7b11bd6,Double-Free,valid_no_local_report,old:e61dd678601eac53d501dda1eb1bcffec7b11bd6:checker0,1,1,0,0,0,research/knighter/e2/cases/29_e61dd678601e_Double_Free,research/knighter/e2/cases/29_e61dd678601e_Double_Free/refinement_input.json,research/knighter/e2/cases/29_e61dd678601e_Double_Free/patches/commit.patch,research/knighter/e2/cases/29_e61dd678601e_Double_Free/patches/knighter_patch.md,research/knighter/e2/cases/29_e61dd678601e_Double_Free/csa/SAGenTestChecker.cpp
E2-extended,30,30_e8c276d4dc0e_Double_Free,e8c276d4dc0e19ee48385f74426aebc855b49aaf,Double-Free,valid_no_local_report,old:e8c276d4dc0e19ee48385f74426aebc855b49aaf:checker0,1,1,0,0,0,research/knighter/e2/cases/30_e8c276d4dc0e_Double_Free,research/knighter/e2/cases/30_e8c276d4dc0e_Double_Free/refinement_input.json,research/knighter/e2/cases/30_e8c276d4dc0e_Double_Free/patches/commit.patch,research/knighter/e2/cases/30_e8c276d4dc0e_Double_Free/patches/knighter_patch.md,research/knighter/e2/cases/30_e8c276d4dc0e_Double_Free/csa/SAGenTestChecker.cpp
E2-extended,31,31_27834971f616_Memory_Leak,27834971f616c5e154423c578fa95e0444444ce1,Memory-Leak,valid_no_local_report,old:27834971f616c5e154423c578fa95e0444444ce1:checker0,1,1,0,0,0,research/knighter/e2/cases/31_27834971f616_Memory_Leak,research/knighter/e2/cases/31_27834971f616_Memory_Leak/refinement_input.json,research/knighter/e2/cases/31_27834971f616_Memory_Leak/patches/commit.patch,research/knighter/e2/cases/31_27834971f616_Memory_Leak/patches/knighter_patch.md,research/knighter/e2/cases/31_27834971f616_Memory_Leak/csa/SAGenTestChecker.cpp
E2-extended,32,32_4050957c7c2c_Memory_Leak,4050957c7c2c14aa795dbf423b4180d5ac04e113,Memory-Leak,valid_no_local_report,old:4050957c7c2c14aa795dbf423b4180d5ac04e113:checker4,1,1,0,0,0,research/knighter/e2/cases/32_4050957c7c2c_Memory_Leak,research/knighter/e2/cases/32_4050957c7c2c_Memory_Leak/refinement_input.json,research/knighter/e2/cases/32_4050957c7c2c_Memory_Leak/patches/commit.patch,research/knighter/e2/cases/32_4050957c7c2c_Memory_Leak/patches/knighter_patch.md,research/knighter/e2/cases/32_4050957c7c2c_Memory_Leak/csa/SAGenTestChecker.cpp
E2-extended,33,33_ca93bf607a44_Memory_Leak,ca93bf607a44c1f009283dac4af7df0d9ae5e357,Memory-Leak,valid_no_local_report,old:ca93bf607a44c1f009283dac4af7df0d9ae5e357:checker0,1,1,0,0,0,research/knighter/e2/cases/33_ca93bf607a44_Memory_Leak,research/knighter/e2/cases/33_ca93bf607a44_Memory_Leak/refinement_input.json,research/knighter/e2/cases/33_ca93bf607a44_Memory_Leak/patches/commit.patch,research/knighter/e2/cases/33_ca93bf607a44_Memory_Leak/patches/knighter_patch.md,research/knighter/e2/cases/33_ca93bf607a44_Memory_Leak/csa/SAGenTestChecker.cpp
E2-extended,34,34_61c43780e944_Misuse,61c43780e9444123410cd48c2483e01d2b8f75e8,Misuse,valid_no_local_report,old:61c43780e9444123410cd48c2483e01d2b8f75e8:checker0,1,1,0,0,0,research/knighter/e2/cases/34_61c43780e944_Misuse,research/knighter/e2/cases/34_61c43780e944_Misuse/refinement_input.json,research/knighter/e2/cases/34_61c43780e944_Misuse/patches/commit.patch,research/knighter/e2/cases/34_61c43780e944_Misuse/patches/knighter_patch.md,research/knighter/e2/cases/34_61c43780e944_Misuse/csa/SAGenTestChecker.cpp
E2-extended,35,35_279c3a2a5eb2_Out_of_Bound,279c3a2a5eb2c1054fbe38e5c33be08584229047,Out-of-Bound,valid_no_local_report,old:279c3a2a5eb2c1054fbe38e5c33be08584229047:checker0,1,1,0,0,0,research/knighter/e2/cases/35_279c3a2a5eb2_Out_of_Bound,research/knighter/e2/cases/35_279c3a2a5eb2_Out_of_Bound/refinement_input.json,research/knighter/e2/cases/35_279c3a2a5eb2_Out_of_Bound/patches/commit.patch,research/knighter/e2/cases/35_279c3a2a5eb2_Out_of_Bound/patches/knighter_patch.md,research/knighter/e2/cases/35_279c3a2a5eb2_Out_of_Bound/csa/SAGenTestChecker.cpp
E2-extended,36,36_3f7d9c1964fc_Out_of_Bound,3f7d9c1964fcd16d02a8a9d4fd6f6cb60c4cc530,Out-of-Bound,valid_no_local_report,old:3f7d9c1964fcd16d02a8a9d4fd6f6cb60c4cc530:checker1,1,1,0,0,0,research/knighter/e2/cases/36_3f7d9c1964fc_Out_of_Bound,research/knighter/e2/cases/36_3f7d9c1964fc_Out_of_Bound/refinement_input.json,research/knighter/e2/cases/36_3f7d9c1964fc_Out_of_Bound/patches/commit.patch,research/knighter/e2/cases/36_3f7d9c1964fc_Out_of_Bound/patches/knighter_patch.md,research/knighter/e2/cases/36_3f7d9c1964fc_Out_of_Bound/csa/SAGenTestChecker.cpp
E2-extended,37,37_0336f8ffece6_UAF,0336f8ffece62f882ab3012820965a786a983f70,UAF,valid_no_local_report,old:0336f8ffece62f882ab3012820965a786a983f70:checker0,1,1,0,0,0,research/knighter/e2/cases/37_0336f8ffece6_UAF,research/knighter/e2/cases/37_0336f8ffece6_UAF/refinement_input.json,research/knighter/e2/cases/37_0336f8ffece6_UAF/patches/commit.patch,research/knighter/e2/cases/37_0336f8ffece6_UAF/patches/knighter_patch.md,research/knighter/e2/cases/37_0336f8ffece6_UAF/csa/SAGenTestChecker.cpp
E2-extended,38,38_3948abaa4e2b_Uninit_Data,3948abaa4e2be938ccdfc289385a27342fb13d43,Uninit-Data,valid_no_local_report,old:3948abaa4e2be938ccdfc289385a27342fb13d43:checker0,1,1,0,0,0,research/knighter/e2/cases/38_3948abaa4e2b_Uninit_Data,research/knighter/e2/cases/38_3948abaa4e2b_Uninit_Data/refinement_input.json,research/knighter/e2/cases/38_3948abaa4e2b_Uninit_Data/patches/commit.patch,research/knighter/e2/cases/38_3948abaa4e2b_Uninit_Data/patches/knighter_patch.md,research/knighter/e2/cases/38_3948abaa4e2b_Uninit_Data/csa/SAGenTestChecker.cpp
E2-extended,39,39_eaa03486d932_Uninit_Data,eaa03486d932572dfd1c5f64f9dfebe572ad88c0,Uninit-Data,valid_no_local_report,old:eaa03486d932572dfd1c5f64f9dfebe572ad88c0:checker4,1,1,0,0,0,research/knighter/e2/cases/39_eaa03486d932_Uninit_Data,research/knighter/e2/cases/39_eaa03486d932_Uninit_Data/refinement_input.json,research/knighter/e2/cases/39_eaa03486d932_Uninit_Data/patches/commit.patch,research/knighter/e2/cases/39_eaa03486d932_Uninit_Data/patches/knighter_patch.md,research/knighter/e2/cases/39_eaa03486d932_Uninit_Data/csa/SAGenTestChecker.cpp
